"FIRST-BOOK-DATE","03/27/2025"
"MEL","DSANDS","","04/28/2025","05/05/2025","122","RQ"
"MEL","JFG","","04/28/2025","05/05/2025","36","RQ"
"PER","D5","","04/28/2025","05/05/2025","77","RQ"
"PER","DSANDS","","04/28/2025","05/05/2025","131","RQ"
"PER","JFG","","04/28/2025","05/05/2025","57","RQ"
"SYD","D5","","04/28/2025","05/05/2025","77","RQ"
"SYD","DSANDS","","04/28/2025","05/05/2025","122","RQ"
"SYD","JFG","","04/28/2025","05/05/2025","28","RQ"
"ADL","D5","","05/05/2025","05/12/2025","77","RQ"
"ADL","DSANDS","","05/05/2025","05/12/2025","123","RQ"
"ADL","JFG","","05/05/2025","05/12/2025","26","RQ"
"ASP","D5","","05/05/2025","05/12/2025","77","RQ"
"ASP","DSANDS","","05/05/2025","05/12/2025","127","RQ"
"ASP","JFG","","05/05/2025","05/12/2025","54","RQ"
"BME","D5","","05/05/2025","05/12/2025","123","RQ"
"BME","DSANDS","","05/05/2025","05/12/2025","136","RQ"
"BME","JFG","","05/05/2025","05/12/2025","96","RQ"
"BNE","D5","","05/05/2025","05/12/2025","77","RQ"
"BNE","DSANDS","","05/05/2025","05/12/2025","126","RQ"
"BNE","JFG","","05/05/2025","05/12/2025","24","RQ"
"CNS","D5","","05/05/2025","05/12/2025","77","RQ"
"CNS","DSANDS","","05/05/2025","05/12/2025","126","RQ"
"CNS","JFG","","05/05/2025","05/12/2025","19","RQ"
"DWN","D5","","05/05/2025","05/12/2025","77","RQ"
"DWN","DSANDS","","05/05/2025","05/12/2025","127","RQ"
"DWN","JFG","","05/05/2025","05/12/2025","56","RQ"
"EXM","D5","","05/05/2025","05/12/2025","101","RQ"
"EXM","DSANDS","","05/05/2025","05/12/2025","136","RQ"
"EXM","JFG","","05/05/2025","05/12/2025","96","RQ"
"HBA","JFG","","05/05/2025","05/12/2025","31","RQ"
"MEL","D5","","05/05/2025","05/12/2025","77","RQ"
"MEL","DSANDS","","05/05/2025","05/12/2025","122","RQ"
"MEL","JFG","","05/05/2025","05/12/2025","36","RQ"
